geo_key,county_name,township_name,village_name,electoral_district_name,Agree,Disagree,valid_votes,invalid_votes,total_votes,electorate,emitted_votes,uncast_votes,remaining_votes,turnout_ratio
66000160009,臺中市,神岡區,大社里,臺中市第03選區,758,1343,2101,13,2114,4393,2114,0,2279,48.12
66000160016,臺中市,神岡區,山皮里,臺中市第03選區,204,311,515,13,528,1022,528,0,494,51.66
66000160008,臺中市,神岡區,岸裡里,臺中市第03選區,559,754,1313,16,1329,2674,1329,0,1345,49.7
66000160002,臺中市,神岡區,庄前里,臺中市第03選區,400,820,1220,11,1231,2207,1231,0,976,55.78
66000160004,臺中市,神岡區,庄後里,臺中市第03選區,419,659,1078,19,1097,2141,1097,0,1044,51.24
66000160014,臺中市,神岡區,新庄里,臺中市第03選區,605,1141,1746,22,1768,3831,1768,0,2063,46.15
66000160012,臺中市,神岡區,溪洲里,臺中市第03選區,486,838,1324,22,1346,2613,1346,0,1267,51.51
66000160006,臺中市,神岡區,社南里,臺中市第03選區,1003,1416,2419,28,2447,4972,2447,0,2525,49.22
66000160005,臺中市,神岡區,社口里,臺中市第03選區,1276,2311,3587,44,3631,7411,3631,0,3780,48.99
66000160001,臺中市,神岡區,神岡里,臺中市第03選區,497,1004,1501,19,1520,3029,1520,0,1509,50.18
66000160011,臺中市,神岡區,神洲里,臺中市第03選區,495,698,1193,14,1207,2397,1207,0,1190,50.35
66000160010,臺中市,神岡區,豐洲里,臺中市第03選區,1320,1971,3291,51,3342,6690,3342,0,3348,49.96
NA,臺中市,神岡區,NA,NA,9722,16246,25968,326,26294,52490,26294,0,26196,50.09
66000090020,臺中市,豐原區,三村里,臺中市第08選區,1222,1909,3131,32,3163,6031,3163,0,2868,52.45
66000090005,臺中市,豐原區,下街里,臺中市第08選區,139,236,375,9,384,689,384,0,305,55.73
66000090003,臺中市,豐原區,中山里,臺中市第08選區,189,223,412,4,416,737,417,1,320,56.45
66000090021,臺中市,豐原區,中興里,臺中市第08選區,395,969,1364,14,1378,2709,1378,0,1331,50.87
66000090028,臺中市,豐原區,中陽里,臺中市第08選區,1034,1672,2706,23,2729,5036,2729,0,2307,54.19
66000090014,臺中市,豐原區,北湳里,臺中市第08選區,528,980,1508,16,1524,2944,1524,0,1420,51.77
66000090027,臺中市,豐原區,北陽里,臺中市第08選區,2278,4142,6420,64,6484,12696,6485,1,6211,51.07
66000090032,臺中市,豐原區,南嵩里,臺中市第08選區,616,994,1610,16,1626,3223,1626,0,1597,50.45
66000090030,臺中市,豐原區,南村里,臺中市第08選區,1038,1575,2613,18,2631,5161,2632,1,2529,50.98
66000090031,臺中市,豐原區,南田里,臺中市第08選區,581,938,1519,24,1543,2981,1543,0,1438,51.76
66000090025,臺中市,豐原區,南陽里,臺中市第08選區,1739,3240,4979,49,5028,10183,5028,0,5155,49.38
66000090017,臺中市,豐原區,圳寮里,臺中市第08選區,269,377,646,8,654,1140,654,0,486,57.37
66000090013,臺中市,豐原區,大湳里,臺中市第08選區,434,769,1203,8,1211,2396,1211,0,1185,50.54
66000090006,臺中市,豐原區,富春里,臺中市第08選區,144,231,375,5,380,624,380,0,244,60.9
66000090036,臺中市,豐原區,朴子里,臺中市第08選區,579,992,1571,20,1591,3198,1591,0,1607,49.75
66000090011,臺中市,豐原區,東勢里,臺中市第08選區,282,390,672,14,686,1315,686,0,629,52.17
66000090015,臺中市,豐原區,東湳里,臺中市第08選區,774,1093,1867,22,1889,3782,1889,0,1893,49.95
66000090029,臺中市,豐原區,東陽里,臺中市第08選區,306,434,740,13,753,1469,753,0,716,51.26
66000090012,臺中市,豐原區,民生里,臺中市第08選區,214,306,520,8,528,1040,528,0,512,50.77
66000090022,臺中市,豐原區,田心里,臺中市第08選區,1005,1786,2791,17,2808,6121,2808,0,3313,45.87
